price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
7367641,7572,5,2,4,no,yes,yes,no,yes,1,no,semi-furnished
13946353,7659,4,4,1,no,yes,no,yes,yes,1,yes,furnished
9565942,7322,5,2,1,yes,no,no,yes,no,1,yes,semi-furnished
10937156,13188,1,1,1,no,no,yes,yes,no,3,yes,semi-furnished
12942645,12024,2,3,4,no,yes,no,no,no,3,yes,furnished
10197507,2099,5,3,2,no,yes,yes,yes,yes,2,yes,furnished
9262006,2215,3,3,2,no,yes,no,no,no,2,yes,furnished
7873915,9529,4,3,2,yes,no,yes,no,yes,2,no,unfurnished
9183868,6330,5,4,1,yes,no,no,no,yes,1,yes,semi-furnished
6446375,12981,1,2,3,no,yes,no,yes,no,0,yes,unfurnished
4636869,4863,3,1,2,no,yes,yes,no,yes,3,yes,unfurnished
8796299,6782,1,4,2,yes,yes,no,yes,yes,1,yes,semi-furnished
6260700,9645,1,1,1,yes,yes,no,yes,no,3,no,semi-furnished
11132314,9277,3,2,4,no,yes,no,yes,no,1,yes,unfurnished
6326746,15831,1,4,1,no,yes,no,yes,no,3,yes,semi-furnished
12272364,16647,2,4,3,no,yes,yes,yes,no,3,no,semi-furnished
11351109,15986,5,1,1,no,no,no,no,no,2,no,furnished
6122739,16448,4,4,1,yes,no,no,no,no,0,no,semi-furnished
10123104,9092,4,1,1,no,yes,no,no,yes,2,no,furnished
5743805,11861,3,3,1,yes,no,no,yes,yes,0,yes,furnished
10864737,9951,2,4,3,yes,no,no,no,no,2,no,semi-furnished
4375394,12467,4,4,1,yes,yes,yes,no,no,3,no,furnished
5164343,3299,4,2,2,yes,yes,yes,yes,no,2,yes,semi-furnished
5683184,16972,2,3,4,yes,yes,yes,no,yes,2,no,unfurnished
9642010,3171,2,1,3,no,no,no,yes,yes,1,yes,unfurnished
10748870,3841,1,1,2,no,no,yes,no,yes,2,no,unfurnished
6584495,15810,1,4,3,no,yes,yes,yes,yes,1,yes,furnished
12671365,7871,1,2,2,no,yes,yes,yes,no,3,no,semi-furnished
13011986,3600,2,4,4,yes,no,no,no,yes,0,no,semi-furnished
10587204,11681,5,3,2,yes,no,yes,no,no,2,yes,unfurnished
11327241,6046,2,4,4,no,no,no,yes,yes,0,no,furnished
9134730,4202,3,2,3,no,yes,yes,no,no,3,yes,unfurnished
13232411,7577,3,4,4,yes,yes,yes,no,no,1,no,furnished
9266761,2460,4,4,2,no,no,yes,yes,yes,0,yes,semi-furnished
11039055,15459,5,4,4,yes,yes,yes,yes,yes,0,yes,furnished
7281671,11586,2,4,3,no,yes,yes,no,no,1,yes,semi-furnished
4933655,3656,3,3,2,no,no,yes,yes,no,3,no,unfurnished
4101005,3571,4,3,2,no,no,yes,no,yes,3,no,unfurnished
5347129,7633,5,3,4,yes,no,no,no,yes,3,yes,semi-furnished
11018493,3950,2,4,3,no,no,yes,no,yes,3,yes,furnished
6856260,11335,2,1,2,yes,yes,no,yes,yes,1,no,unfurnished
7484131,8397,5,4,1,yes,no,yes,no,no,1,no,semi-furnished
10123195,10476,5,3,1,yes,yes,no,yes,no,2,yes,semi-furnished
13298499,12665,2,2,4,yes,no,yes,yes,yes,3,no,furnished
12293786,5727,5,2,4,no,no,yes,no,no,2,yes,unfurnished
6748755,15051,4,2,1,yes,yes,yes,yes,no,2,yes,unfurnished
10899120,2387,4,1,1,no,yes,yes,yes,yes,3,no,semi-furnished
11756285,2111,4,2,4,yes,no,yes,yes,no,3,yes,semi-furnished
6758028,14308,5,3,2,no,no,yes,no,no,0,yes,unfurnished
8888667,2599,4,2,4,no,no,yes,yes,yes,1,no,unfurnished
6469802,7847,4,1,2,yes,no,yes,no,yes,0,no,semi-furnished
4828939,14769,5,4,1,yes,yes,no,yes,no,3,yes,unfurnished
12204975,8283,4,3,1,no,no,yes,no,yes,0,yes,semi-furnished
10881199,15633,5,3,3,yes,yes,no,no,no,0,no,semi-furnished
6969848,15484,5,3,4,no,no,yes,no,no,1,no,unfurnished
7939652,16292,1,4,2,yes,yes,yes,yes,yes,2,no,semi-furnished
6124955,15447,1,3,2,yes,no,yes,yes,yes,0,no,unfurnished
12394878,9186,1,4,3,no,yes,yes,no,yes,1,yes,unfurnished
5050446,11355,3,2,2,yes,no,yes,yes,yes,0,no,semi-furnished
6016740,9224,3,2,3,no,no,no,no,no,2,no,furnished
5186567,15938,4,3,1,no,yes,yes,no,yes,1,yes,semi-furnished
9390776,8469,4,2,1,no,no,yes,yes,yes,2,no,semi-furnished
